Account Short Name,Segment,Key Account Type,V1,Perf Reporting?,,2018 Division,2019 Division,2019 BMP Label,2020 Division,2020 BU Label,2020 DIV Label,2020 Business Model Label,,Product Line,"Original 
Product Line","2020 Mapped 
Product Line",Division-2019,"2020 
Current/Old",2020 Division,"2020 For 
Reporting",,2019 Prod Code,2020 Prod Code,Domain,EcoX,Margin,,OpportunityScope,EcoX?,EcoX Domain1,EcoX Domain2,EcoX Domain3,,"2020 For 
Reporting",2020 Division,,Product Line,"Original 
Product Line","2020 Mapped 
Product Line",Division-2019,"2020 
Current/Old",2020 Division,"2020 For 
Reporting",US Reporting Div,NAM Ops?,"US P&L, L1","US P&L, L2","US P&L, L3",,,Services,,,ESX L2L3,,,Adv+SW,,,,,,,,UPD 3.2.2021,,,,,,,,,,,,,Flywheel Ref Data,,,,
CPS Energy,Power and Grid,CTA Candidate,Ken Vergara,1,,,,,,,,,,SP3PH - 3-Phase Power System,SP3PH,SP3PH,,Current,Secure Power,Secure Power Equip/Sys,,,,,,,,Solar,0,0,0,0,,,,,SP3PH - 3-Phase Power System,SP3PH,SP3PH,,Current,Secure Power,Secure Power Equip/Sys,Secure Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Secure Power w.o Services,,,,,,,,,,,,,,,,,IDSFT-IS F B LINE QUALITY-F&B LINE QUALITY LIC,Aveva,IDSFT,IS F B LINE QUALITY,F&B LINE QUALITY LIC,IDSFT-IS F B LINE QUALITY-F&B LINE QUALITY LIC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
Duke Energy,Power and Grid,CTA,Gregg Morasca,1,,,,,,,,,,SPCLG - Cooling Systems,SPCLG,SPCLG,,Current,Secure Power,Secure Power Equip/Sys,,,,,,,,Solar;EcoStruxure Power;Commercial & Industrial,1,Power,0,0,,,,,SPCLG - Cooling Systems,SPCLG,SPCLG,,Current,Secure Power,Secure Power Equip/Sys,Secure Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Secure Power w.o Services,,,,,,,,,,,,,,,,,IDSFT-IS F B LINE QUALITY-F&B LINE QUALITY SUBS,Aveva,IDSFT,IS F B LINE QUALITY,F&B LINE QUALITY SUBS,IDSFT-IS F B LINE QUALITY-F&B LINE QUALITY SUBS,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
EDF,Power and Grid,Strategic,John Burns,1,,,,,,,,,,SPMDC - Modular Data Centers,SPMDC,SPMDC,,Current,Secure Power,Secure Power Equip/Sys,,,,,,,,Solar;Microgrid,0,0,0,0,,,,,SPMDC - Modular Data Centers,SPMDC,SPMDC,,Current,Secure Power,Secure Power Equip/Sys,Secure Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Secure Power w.o Services,,,,,,,,,,,,,,,,,IDSFT-IS F B LINE QUALITY-F&B LINE QUALITY SVC,Aveva,IDSFT,IS F B LINE QUALITY,F&B LINE QUALITY SVC,IDSFT-IS F B LINE QUALITY-F&B LINE QUALITY SVC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
Enel,Power and Grid(excl),Strategic,Removed,0,,,,,,,,,,SPSFT - Secure Power Software,SPSFT,SPSFT,,Current,Secure Power,Secure Power Equip/Sys,,,,,,,,Solar;Microgrid;EcoStruxure Grid,1,Grid,0,0,,,,,SPSFT - Secure Power Software,SPSFT,SPSFT,,Current,Secure Power,Secure Power Equip/Sys,Secure Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Secure Power w.o Services,,,,,,,,,,,,,,,,,IDSFT-IS F B NEW SOLUTIONS-F&B NEW SOLN CF,Aveva,IDSFT,IS F B NEW SOLUTIONS,F&B NEW SOLN CF,IDSFT-IS F B NEW SOLUTIONS-F&B NEW SOLN CF,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
Engie,Power and Grid,MCTA,Ken Vergara,1,,,,,,,,,,SPSTO - Design Build & Energy Storage,SPSTO,SPSTO,,Current,Secure Power,Secure Power Equip/Sys,,,,,,,,Solar;Microgrid;EcoStruxure Power,1,Power,0,0,,,,,SPSTO - Design Build & Energy Storage,SPSTO,SPSL2,,Current,Secure Power,Secure Power Equip/Sys,Secure Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Secure Power w.o Services,,,,,,,,,,,,,,,,,IDSFT-IS F B NEW SOLUTIONS-F&B NEW SOLN LIC,Aveva,IDSFT,IS F B NEW SOLUTIONS,F&B NEW SOLN LIC,IDSFT-IS F B NEW SOLUTIONS-F&B NEW SOLN LIC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
Eversource,Power and Grid,CTA Candidate,Dave Reed,1,,,,,,,,,,ITIBS - Secure Pwr Field Services,ITIBS,SPIBS,,OLD,Secure Power Field Services,Secure Power Field Services,,,,,,,,Supplier B2B Initiative,0,0,0,0,,,,,ITIBS - Secure Pwr Field Services,ITIBS,SPIBS,,OLD,Secure Power Field Services,Secure Power Field Services,Secure Power,NAM Ops,Energy Management,Energy Mgmt Services,Secure Power Services,,,,,,,,,,,,,,,,,IDSFT-IS F B NEW SOLUTIONS-F&B NEW SOLN SUBS,Aveva,IDSFT,IS F B NEW SOLUTIONS,F&B NEW SOLN SUBS,IDSFT-IS F B NEW SOLUTIONS-F&B NEW SOLN SUBS,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
Exelon,Power and Grid,CTA,Ken Vergara,1,,,,,,,,,,SPIBS - Secure Power Field Services,SPIBS,SPIBS,,Current,Secure Power Field Services,Secure Power Field Services,,,,,,,,Telvent-SE Synergy,0,0,0,0,,,,,SPIBS - Secure Power Field Services,SPIBS,SPIBS,,Current,Secure Power Field Services,Secure Power Field Services,Secure Power,NAM Ops,Energy Management,Energy Mgmt Services,Secure Power Services,,,,,,,,,,,,,,,,,IDSFT-IS F B NEW SOLUTIONS-F&B NEW SOLN SVC,Aveva,IDSFT,IS F B NEW SOLUTIONS,F&B NEW SOLN SVC,IDSFT-IS F B NEW SOLUTIONS-F&B NEW SOLN SVC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
Iberdrola,Power and Grid,Strategic,Dave Reed,1,,,,,,,,,,SISGT - Smart Infra Smart Grid IT,SISGT,SISGT,Power Systems,Current,Smart Grid Services,Smart Grid Services,,,,,,,,Telvent-SE Synergy;EcoStruxure Plant,1,Plant,0,0,,,,,SISGT - Smart Infra Smart Grid IT,SISGT,DGRID,Power Systems,Current,Smart Grid Services,Smart Grid Services,Smart Grid Services,Outside NAM Ops,Smart Grid Services,Smart Grid Services,Smart Grid Services,,,,,,,,,,,,,,,,,IDSFT-IS F B WGH   DISP-F&B WEIGH DISP CF,Aveva,IDSFT,IS F B WGH   DISP,F&B WEIGH DISP CF,IDSFT-IS F B WGH   DISP-F&B WEIGH DISP CF,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
National Grid,Power and Grid,CTA,Dave Reed,1,,,,,,,,,,SOLPR - Solar Products,SOLPR,SOLPR,,Current,Solar,Solar,,,,,,,,Datacenter;Microgrid;Distributed IT;EcoStruxure Power,1,Power,0,0,,,,,SOLPR - Solar Products,SOLPR,SOLPR,,Current,Solar,Solar,Solar,Outside NAM Ops,Solar,Solar,Solar,,,,,,,,,,,,,,,,,IDSFT-IS F B WGH   DISP-F&B WEIGH DISP LIC,Aveva,IDSFT,IS F B WGH   DISP,F&B WEIGH DISP LIC,IDSFT-IS F B WGH   DISP-F&B WEIGH DISP LIC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
Nextera,Power and Grid,CTA,John Burns,1,,,,,,,,,,SOLSY - Solar Systems,SOLSY,SOLSY,,Current,Solar,Solar,,,,,,,,EcoStruxure Power;Covid19 negative impact,1,Power,0,0,,,,,SOLSY - Solar Systems,SOLSY,SOLSY,,Current,Solar,Solar,Solar,Outside NAM Ops,Solar,Solar,Solar,,,,,,,,,,,,,,,,,IDSFT-IS F B WGH   DISP-F&B WEIGH DISP SUBS,Aveva,IDSFT,IS F B WGH   DISP,F&B WEIGH DISP SUBS,IDSFT-IS F B WGH   DISP-F&B WEIGH DISP SUBS,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
PG&E,Power and Grid,CTA,John Burns,1,,,,,,,,,,CLSAS - Cloud SaaS,CLSAS,CLSAS,,Current,Cloud,Cloud,,,,,,,,EcoStruxure Power;Covid19 prioritization,1,Power,0,0,,,,,CLSAS - Cloud SaaS,CLSAS,CLSAS,,Current,Cloud,Cloud,Cloud,Outside NAM Ops,Cloud,Cloud,Cloud,,,,,,,,,,,,,,,,,IDSFT-IS F B WGH   DISP-F&B WEIGH DISP SVC,Aveva,IDSFT,IS F B WGH   DISP,F&B WEIGH DISP SVC,IDSFT-IS F B WGH   DISP-F&B WEIGH DISP SVC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
Scale Microgrids,Power and Grid,CTA,Don Wingate,1,,,,,,,,,,INTAG - Telvent Agriculture,INTAG,CLSAS,,OLD,Cloud,Cloud,,,,,,,,Datacenter;Distributed IT;EcoStruxure Power,1,Power,0,0,,,,,INTAG - Telvent Agriculture,INTAG,CLSAS,,OLD,Cloud,Cloud,Cloud,Outside NAM Ops,Cloud,Cloud,Cloud,,,,,,,,,,,,,,,,,IDSFT-IS F B WGH   DISP AUDT-F&B WEIGH AUDIT CF,Aveva,IDSFT,IS F B WGH   DISP AUDT,F&B WEIGH AUDIT CF,IDSFT-IS F B WGH   DISP AUDT-F&B WEIGH AUDIT CF,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
Xcel Energy,Power and Grid,CTA,Ken Vergara,1,,,,,,,,,,INTEV - Telvent Environment,INTEV,CLSAS,,OLD,Cloud,Cloud,,,,,,,,Datacenter;EcoStruxure Power;Covid19 negative impact,1,Power,0,0,,,,,INTEV - Telvent Environment,INTEV,CLSAS,,OLD,Cloud,Cloud,Cloud,Outside NAM Ops,Cloud,Cloud,Cloud,,,,,,,,,,,,,,,,,IDSFT-IS F B WGH   DISP AUDT-F&B WEIGH AUDIT LIC,Aveva,IDSFT,IS F B WGH   DISP AUDT,F&B WEIGH AUDIT LIC,IDSFT-IS F B WGH   DISP AUDT-F&B WEIGH AUDIT LIC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
Chick Fil A,Retail,CTA Candidate,Marc DiCicco,1,,,,,,,,,,SISAS - Smart Infra SaaS,SISAS,CLSAS,,OLD,Cloud,Cloud,,,,,,,,Microgrid;EcoStruxure Grid;ASCO/Schneider Cross Sell;Commercial & Industrial,1,Grid,0,0,,,,,SISAS - Smart Infra SaaS,SISAS,CLSAS,,OLD,Cloud,Cloud,Cloud,Outside NAM Ops,Cloud,Cloud,Cloud,,,,,,,,,,,,,,,,,IDSFT-IS F B WGH   DISP AUDT-F&B WEIGH AUDIT SUBS,Aveva,IDSFT,IS F B WGH   DISP AUDT,F&B WEIGH AUDIT SUBS,IDSFT-IS F B WGH   DISP AUDT-F&B WEIGH AUDIT SUBS,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
Costco,Retail,CTA,Marc DiCicco,1,,,,,,,,,,INTGS - Telvent Global Services,INTGS,SIITC,,OLD,Smart Infrastructure,Smart Infrastructure,,,,,,,,EcoStruxure Grid;ASCO/Schneider Cross Sell;Commercial & Industrial,1,Grid,0,0,,,,,INTGS - Telvent Global Services,INTGS,SIITC,,OLD,Smart Infrastructure,Smart Infrastructure,Smart Infrastructure,Outside NAM Ops,Smart Infrastructure,Smart Infrastructure,Smart Infrastructure,,,,,,,,,,,,,,,,,IDSFT-IS F B WGH   DISP AUDT-F&B WEIGH AUDIT SVC,Aveva,IDSFT,IS F B WGH   DISP AUDT,F&B WEIGH AUDIT SVC,IDSFT-IS F B WGH   DISP AUDT-F&B WEIGH AUDIT SVC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
LIDL,Retail,CTA Candidate,Marc DiCicco,1,,,,,,,,,,INTTR - Telvent Transportation,INTTR,SITRA,,OLD,Smart Infrastructure,Smart Infrastructure,,,,,,,,Microgrid;EcoStruxure Grid;ASCO/Schneider Cross Sell,1,Grid,0,0,,,,,INTTR - Telvent Transportation,INTTR,SITRA,,OLD,Smart Infrastructure,Smart Infrastructure,Smart Infrastructure,Outside NAM Ops,Smart Infrastructure,Smart Infrastructure,Smart Infrastructure,,,,,,,,,,,,,,,,,IDSFT-IS F&B PRE WEIGH KITNG-F&B PREWEIGH KIT CF,Aveva,IDSFT,IS F&B PRE WEIGH KITNG,F&B PREWEIGH KIT CF,IDSFT-IS F&B PRE WEIGH KITNG-F&B PREWEIGH KIT CF,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
McDonalds,Retail,CTA,Marc DiCicco,1,,,,,,,,,,SIITC - Smart Infra IT Consulting & Integration Services,SIITC,SIITC,,OLD,Smart Infrastructure,Smart Infrastructure,,,,,,,,Distributed IT;EcoStruxure Grid,1,Grid,0,0,,,,,SIITC - Smart Infra IT Consulting & Integration Services,SIITC,SIITC,,OLD,Smart Infrastructure,Smart Infrastructure,Smart Infrastructure,Outside NAM Ops,Smart Infrastructure,Smart Infrastructure,Smart Infrastructure,,,,,,,,,,,,,,,,,IDSFT-IS F&B PRE WEIGH KITNG-F&B PREWEIGH KIT LIC,Aveva,IDSFT,IS F&B PRE WEIGH KITNG,F&B PREWEIGH KIT LIC,IDSFT-IS F&B PRE WEIGH KITNG-F&B PREWEIGH KIT LIC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
Walgreens,Retail,CTA Candidate,Marc DiCicco,1,,,,,,,,,,SITRA - Smart Infra Transportation,SITRA,SITRA,,OLD,Smart Infrastructure,Smart Infrastructure,,,,,,,,Cross-Selling with Invensys;EcoStruxure Power;Covid19 negative impact,1,Power,0,0,,,,,SITRA - Smart Infra Transportation,SITRA,SITRA,,OLD,Smart Infrastructure,Smart Infrastructure,Smart Infrastructure,Outside NAM Ops,Smart Infrastructure,Smart Infrastructure,Smart Infrastructure,,,,,,,,,,,,,,,,,IDSFT-IS F&B PRE WEIGH KITNG-F&B PREWEIGH KIT SUBS,Aveva,IDSFT,IS F&B PRE WEIGH KITNG,F&B PREWEIGH KIT SUBS,IDSFT-IS F&B PRE WEIGH KITNG-F&B PREWEIGH KIT SUBS,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
Wegmans,Retail,CTA,Marc DiCicco,1,,,,,,,,,,CSCST - Custom sensors&Tech,CSCST,CSCST,,OLD,N/A,N/A,,,,,,,,EcoStruxure Power;ASCO/Schneider Cross Sell;Commercial & Industrial;Covid19 negative impact,1,Power,0,0,,,,,CSCST - Custom sensors&Tech,CSCST,CSCST,,OLD,Unknown,Unknown,Unknown,Outside NAM Ops,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,IDSFT-IS F&B PRE WEIGH KITNG-F&B PREWEIGH KIT SVC,Aveva,IDSFT,IS F&B PRE WEIGH KITNG,F&B PREWEIGH KIT SVC,IDSFT-IS F&B PRE WEIGH KITNG-F&B PREWEIGH KIT SVC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
Intel,Semiconductor,Strategic,Ron Tupper,0,,,,,,,,,,,,,,,,,,,,,,,,Distributed IT;EcoStruxure Power,1,Power,0,0,,,,,,PSIPS,PSIPS,,Current,Power Systems,Power Systems,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,IDSFT-IS LS AUTOMTN STD LIB-LS AUTO STD LIB CF,Aveva,IDSFT,IS LS AUTOMTN STD LIB,LS AUTO STD LIB CF,IDSFT-IS LS AUTOMTN STD LIB-LS AUTO STD LIB CF,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
Micron,Semiconductor,MCTA,Ron Tupper,0,,,,,,,,,,,,,,,,,,,,,,,,Distributed IT;EcoStruxure Grid;EcoStruxure Power,1,Power,Grid,0,,,,,,PSLVE,PSLVE,,Current,Power Systems,Power Systems,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,IDSFT-IS LS AUTOMTN STD LIB-LS AUTO STD LIB LIC,Aveva,IDSFT,IS LS AUTOMTN STD LIB,LS AUTO STD LIB LIC,IDSFT-IS LS AUTOMTN STD LIB-LS AUTO STD LIB LIC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
Samsung,Semiconductor,Strategic,Ron Tupper,0,,,,,,,,,,,,,,,,,,,,,,,,EcoStruxure Power;Commercial & Industrial;Covid19 negative impact,1,Power,0,0,,,,,,PSMVP,PSMVP,,Current,Power Systems,Power Systems,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,IDSFT-IS LS AUTOMTN STD LIB-LS AUTO STD LIB SUBS,Aveva,IDSFT,IS LS AUTOMTN STD LIB,LS AUTO STD LIB SUBS,IDSFT-IS LS AUTOMTN STD LIB-LS AUTO STD LIB SUBS,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
Taiwan SemiCond,Semiconductor,MCTA,Ron Tupper,0,,,,,,,,,,,,,,,,,,,,,,,,Datacenter;Microgrid;Distributed IT;EcoStruxure Grid;EcoStruxure Power;ASCO/Schneider Cross Sell,1,Power,Grid,0,,,,,,PSSL2,PSSL2,,Current,Power Systems,Power Systems,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,IDSFT-IS LS AUTOMTN STD LIB-LS AUTO STD LIB SVC,Aveva,IDSFT,IS LS AUTOMTN STD LIB,LS AUTO STD LIB SVC,IDSFT-IS LS AUTOMTN STD LIB-LS AUTO STD LIB SVC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
Black & Veatch,Water,Strategic,Ben Foley,1,,,,,,,,,,,,,,,,,,,,,,,,Microgrid;Distributed IT;EcoStruxure Grid;EcoStruxure Power;Covid19 negative impact,1,Power,Grid,0,,,,,,PSMVT,PSMVT,,Current,Power Systems,Power Systems,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,IDSFT-IS LS LINE QUALITY-LS LINE QUALITY CF,Aveva,IDSFT,IS LS LINE QUALITY,LS LINE QUALITY CF,IDSFT-IS LS LINE QUALITY-LS LINE QUALITY CF,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
Brown & Caldwell,Water,MCTA,Ben Foley,1,,,,,,,,,,,,,,,,,,,,,,,,Datacenter;Microgrid;Distributed IT;EcoStruxure Power,1,Power,0,0,,,,,,PSMVE,PSMVE,,Current,Power Systems,Power Systems,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,IDSFT-IS LS LINE QUALITY-LS LINE QUALITY LIC,Aveva,IDSFT,IS LS LINE QUALITY,LS LINE QUALITY LIC,IDSFT-IS LS LINE QUALITY-LS LINE QUALITY LIC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
Carollo,Water,CTA,Dave Lee,1,,,,,,,,,,,,,,,,,,,,,,,,Datacenter;EcoStruxure Power;Commercial & Industrial,1,Power,0,0,,,,,,PPCCB,PPCCB,,Current,Power Products,Power Products,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,IDSFT-IS LS LINE QUALITY-LS LINE QUALITY SUBS,Aveva,IDSFT,IS LS LINE QUALITY,LS LINE QUALITY SUBS,IDSFT-IS LS LINE QUALITY-LS LINE QUALITY SUBS,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
CDM Smith,Water,CTA,Ben Foley,1,,,,,,,,,,,,,,,,,,,,,,,,EcoStruxure Grid;EcoStruxure Power;Commercial & Industrial,1,Grid,Power,0,,,,,,PPACB,PPACB,,Current,Power Products,Power Products,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,IDSFT-IS LS LINE QUALITY-LS LINE QUALITY SVC,Aveva,IDSFT,IS LS LINE QUALITY,LS LINE QUALITY SVC,IDSFT-IS LS LINE QUALITY-LS LINE QUALITY SVC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
City of Dallas Water,Water,CTA,Dave Lee,1,,,,,,,,,,,,,,,,,,,,,,,,Cross-Selling with Invensys;Microgrid;EcoStruxure Grid;Commercial & Industrial,1,Grid,0,0,,,,,,PPCTR,PPCTR,,Current,Power Products,Power Products,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,IDSFT-IS LS LINE SERIALIZATN-LS LINE SERIAL CF,Aveva,IDSFT,IS LS LINE SERIALIZATN,LS LINE SERIAL CF,IDSFT-IS LS LINE SERIALIZATN-LS LINE SERIAL CF,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
City of San Diego Water,Water,CTA,Dave Lee,1,,,,,,,,,,,,,,,,,,,,,,,,Solar;EcoStruxure Grid,1,Grid,0,0,,,,,,PPUES,PPUES,,Current,Power Products,Power Products,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,IDSFT-IS LS LINE SERIALIZATN-LS LINE SERIAL LIC,Aveva,IDSFT,IS LS LINE SERIALIZATN,LS LINE SERIAL LIC,IDSFT-IS LS LINE SERIALIZATN-LS LINE SERIAL LIC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
HDR,Water,MCTA,Dave Lee,1,,,,,,,,,,,,,,,,,,,,,,,,EcoStruxure Power;Connectivity EcoSystem;Commercial & Industrial,1,Power,0,0,,,,,,PPLVS,PPLVS,,Current,Power Products,Power Products,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,IDSFT-IS LS LINE SERIALIZATN-LS LINE SERIAL SUBS,Aveva,IDSFT,IS LS LINE SERIALIZATN,LS LINE SERIAL SUBS,IDSFT-IS LS LINE SERIALIZATN-LS LINE SERIAL SUBS,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
Jacobs,Water,Strategic,Dave Lee,1,,,,,,,,,,,,,,,,,,,,,,,,Cross-Selling with Invensys;EcoStruxure Grid;EcoStruxure Power;ASCO/Schneider Cross Sell,1,Power,Grid,0,,,,,,PPLVB,PPLVB,,Current,Power Products,Power Products,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,IDSFT-IS LS LINE SERIALIZATN-LS LINE SERIAL SVC,Aveva,IDSFT,IS LS LINE SERIALIZATN,LS LINE SERIAL SVC,IDSFT-IS LS LINE SERIALIZATN-LS LINE SERIAL SVC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
North TX Municipal,Water,CTA,Dave Lee,1,,,,,,,,,,,,,,,,,,,,,,,,Microgrid;EcoStruxure Grid;EcoStruxure Power;Commercial & Industrial,1,Power,Grid,0,,,,,,PPMCP,PPMCP,,Current,Power Products,Power Products,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,IDSFT-IS LS NEW SOLUTIONS-LS NEW SOLN CF,Aveva,IDSFT,IS LS NEW SOLUTIONS,LS NEW SOLN CF,IDSFT-IS LS NEW SOLUTIONS-LS NEW SOLN CF,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
Philadelphia Water,Water,CTA,Dave Lee,1,,,,,,,,,,,,,,,,,,,,,,,,Smart City;EcoStruxure Power,1,Power,0,0,,,,,,PPATS,PPATS,,Current,Power Products,Power Products,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,IDSFT-IS LS NEW SOLUTIONS-LS NEW SOLN LIC,Aveva,IDSFT,IS LS NEW SOLUTIONS,LS NEW SOLN LIC,IDSFT-IS LS NEW SOLUTIONS-LS NEW SOLN LIC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
SF Public Water,Water,CTA,Dave Lee,1,,,,,,,,,,,,,,,,,,,,,,,,Datacenter;Covid19 negative impact;EcoStruxure Power,1,Power,0,0,,,,,,PPPCL,PPPCL,,Current,Power Products,Power Products,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,IDSFT-IS LS NEW SOLUTIONS-LS NEW SOLN SUBS,Aveva,IDSFT,IS LS NEW SOLUTIONS,LS NEW SOLN SUBS,IDSFT-IS LS NEW SOLUTIONS-LS NEW SOLN SUBS,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
Stantec (MWH),Water,MCTA,Dave Lee,1,,,,,,,,,,,,,,,,,,,,,,,,Commercial & Industrial;EcoStruxure Power,1,Power,0,0,,,,,,PPLTA,PPLTA,,Current,Power Products,Power Products,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,IDSFT-IS LS NEW SOLUTIONS-LS NEW SOLN SVC,Aveva,IDSFT,IS LS NEW SOLUTIONS,LS NEW SOLN SVC,IDSFT-IS LS NEW SOLUTIONS-LS NEW SOLN SVC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
Suez Environment,Water,Strategic,Ben Foley,1,,,,,,,,,,,,,,,,,,,,,,,,Green/Energy Efficient Building;Cross-Selling with Invensys;EcoStruxure Power,1,Power,0,0,,,,,,DPLNT,DPLNT,,Current,Digital Energy,Digital Power,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,IDSFT-IS LS SITE SERIALIZATN-LS SITE SERIAL CF,Aveva,IDSFT,IS LS SITE SERIALIZATN,LS SITE SERIAL CF,IDSFT-IS LS SITE SERIALIZATN-LS SITE SERIAL CF,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
